tag_id,tag_name
1,multi-state
2,contingency
3,Extended
4,Extended
5,national
6,optimizing
7,motivating
8,Expanded
9,artificial intelligence
10,Sharable
11,intermediate
12,hybrid
13,De-engineered
14,conglomeration
15,Managed
16,collaboration
17,Expanded
18,Configurable
19,non-volatile
20,concept
21,Front-line
22,product
23,global
24,Managed
25,Ergonomic
26,Multi-layered
27,Secured
28,holistic
29,fresh-thinking
30,Persistent
31,foreground
32,middleware
33,access
34,monitoring
35,optimal
36,tertiary
37,static
38,application
39,Face to face
40,knowledge user
